iter	Passed	Remaining
0	58	1413
1	124	1427
2	196	1438
3	261	1374
4	327	1309
5	389	1233
6	451	1159
7	511	1086
8	565	1004
9	618	927
10	673	856
11	727	788
12	781	721
13	839	659
14	894	596
15	950	534
16	1012	476
17	1073	417
18	1127	356
19	1181	295
20	1237	235
21	1290	175
22	1343	116
23	1396	58
24	1449	0
