iter	MultiClass
0	1.002826631
1	0.9403712916
2	0.876872406
3	0.8223983571
4	0.7828184354
5	0.7332390353
6	0.6889511694
7	0.6547237303
8	0.6305275887
9	0.5997998179
10	0.5714454916
11	0.550440346
12	0.5295902084
13	0.5082714307
14	0.4865621273
15	0.4651925521
16	0.4486525165
17	0.4301570001
18	0.4124274817
19	0.4007175246
20	0.3886664907
21	0.3779805756
22	0.3695818323
23	0.359535432
24	0.3507116825
